"order_month","entity_description","monthly_spend","unique_vendors"
"2024-02-01 00:00:00-05","Virginia Alcoholic Beverage Control Authority",2401807.2800,18
"2024-02-01 00:00:00-05","Virginia School for the Deaf and the Blind",2322806.54,23
"2024-02-01 00:00:00-05","Virginia Department of Energy",2293720.3792,42
"2024-02-01 00:00:00-05","Rappahannock Community College",2267182.320,50
"2024-02-01 00:00:00-05","Sitter-Barfoot Veterans Care Center",2150837.18,34
"2024-02-01 00:00:00-05","Virginia Correctional Center for Women",2119244.76,30
"2024-02-01 00:00:00-05","Virginia Department of Agriculture and Consumer Services",2044936.9450,64
"2024-02-01 00:00:00-05","Central Virginia Community College",2044513.916180,56
"2024-02-01 00:00:00-05","Virginia Military Institute",1965242.964680,113
"2024-02-01 00:00:00-05","Correctional Enterprises",1764967.457280,47
"2024-02-01 00:00:00-05","Longwood University",1764139.20,77
"2024-02-01 00:00:00-05","Virginia Department of Wildlife Resources",1709209.6192,78
"2024-02-01 00:00:00-05","Science Museum of Virginia",1648584.4850,42
"2024-02-01 00:00:00-05","Department of Health Professions",1608794.1600,34
"2024-02-01 00:00:00-05","JAUNT",1523558.80,3
"2024-02-01 00:00:00-05","Virginia Department for Veterans Services",1386240.5490,48
"2024-02-01 00:00:00-05","Piedmont Geriatric Hospital",1304833.7432,37
"2024-02-01 00:00:00-05","Virginia Peninsula Community College",1283052.80,54
"2024-02-01 00:00:00-05","Virginia Western Community College",1226098.4794,73
"2024-02-01 00:00:00-05","Wilson Workforce and Rehabilitation Center",1194170.510980,45
"2024-02-01 00:00:00-05","Virginia Museum of Fine Arts",1146995.96,65
"2024-02-01 00:00:00-05","Bay Aging",1111455.44,1
"2024-02-01 00:00:00-05","Nottoway Correctional Center",1077107.3400,34
"2024-02-01 00:00:00-05","Central State Hospital",1029934.7252,34
"2024-02-01 00:00:00-05","Department of Medical Assistance Services",1026140.5600,23
"2024-02-01 00:00:00-05","Reynolds Community College",1023457.186,85
"2024-02-01 00:00:00-05","Buckingham Correctional Center",1005114.44,31
"2024-02-01 00:00:00-05","Germanna Community College",979002.34,65
"2024-02-01 00:00:00-05","Red Onion Correctional Center",924643.88,24
"2024-02-01 00:00:00-05","Southwestern VA Mental Health Institute",923831.94,48
"2024-02-01 00:00:00-05","Brightpoint Community College",916836.9960,59
"2024-02-01 00:00:00-05","Department of Housing and Community Development",883831.0370,21
"2024-02-01 00:00:00-05","Appalachian Agency for Senior Citizens",865902,1
"2024-02-01 00:00:00-05","Department of Corrections - Academy",837483.68,47
"2024-02-01 00:00:00-05","Laurel Ridge Community College",806099.42,54
"2024-02-01 00:00:00-05","Department for Aging and Rehabilitative Services",804392.370,52
"2024-02-01 00:00:00-05","Virginia Outdoors Foundation",801060,3
"2024-02-01 00:00:00-05","Department of Fire Programs",797081.239960,35
"2024-02-01 00:00:00-05","Jamestown-Yorktown Foundation",781666.94002,44
"2024-02-01 00:00:00-05","Keen Mountain Correctional Center",750024.710,25
"2024-02-01 00:00:00-05","Department of Criminal Justice Services",744574.3970,41
"2024-02-01 00:00:00-05","Catawba Hospital",743743.529380,52
"2024-02-01 00:00:00-05","Hampton Roads Planning District Commission",729228,1
"2024-02-01 00:00:00-05","Deerfield Correctional Center",686028.64,24
"2024-02-01 00:00:00-05","Department of Forestry",683591.5700,114
"2024-02-01 00:00:00-05","Bland Correctional Center",664007.794240,21
"2024-02-01 00:00:00-05","Office of the Attorney General",652879.6100,49
"2024-02-01 00:00:00-05","Department of Forensic Science",640719.78252,57
"2024-02-01 00:00:00-05","Fluvanna Correctional Center",617692.3320,25
"2024-02-01 00:00:00-05","Danville Community College",613445.6600,39
"2024-02-01 00:00:00-05","VA Center for Behavioral Rehabilitation",587041.9448,30
"2024-02-01 00:00:00-05","Camp Community College",567845.14,34
"2024-02-01 00:00:00-05","Southern Virginia Mental Health Institute",562415.88,53
"2024-02-01 00:00:00-05","Green Rock Correctional Center",540896.88,18
"2024-02-01 00:00:00-05","Piedmont VA Community College",529577.14,37
"2024-02-01 00:00:00-05","Eastern Shore Community College",520983.44,22
"2024-02-01 00:00:00-05","Southeastern Virginia Training Center",505924.8640,56
"2024-02-01 00:00:00-05","Mountain Empire Community College",488964.14150,35
"2024-02-01 00:00:00-05","Department of Aviation",447917.48,18
"2024-02-01 00:00:00-05","A.L. Philpott Manufacturing Extension Partnership",443258,6
"2024-02-01 00:00:00-05","Virginia State Lottery",434750,1
"2024-02-01 00:00:00-05","Virginia Employment Commission",428070.86,32
"2024-02-01 00:00:00-05","Southside Virginia Community College",418953.608,52
"2024-02-01 00:00:00-05","Indian Creek Correctional Center",416265.0320,18
"2024-02-01 00:00:00-05","Marine Resources Commission",414626.30,36
"2024-02-01 00:00:00-05","Southwest Virginia Community College",412447.58,40
"2024-02-01 00:00:00-05","Dillwyn Correctional Center",411911.16,33
"2024-02-01 00:00:00-05","Western Tidewater Community Services Board",409540,1
"2024-02-01 00:00:00-05","Coffeewood Correctional Center",408332.78,22
"2024-02-01 00:00:00-05","Eastern State Hospital",405427.38,38
"2024-02-01 00:00:00-05","Wallens Ridge Correctional Center",385651.66,25
"2024-02-01 00:00:00-05","Department of Taxation",378185.685620,19
"2024-02-01 00:00:00-05","Haynesville Correctional Center",359014.70,33
"2024-02-01 00:00:00-05","Colonial Behavioral Health",357584.50,2
"2024-02-01 00:00:00-05","Department of Treasury",338209.6280,30
"2024-02-01 00:00:00-05","Western State Hospital",334816.54,44
"2024-02-01 00:00:00-05","Wytheville Community College",324480.28,52
"2024-02-01 00:00:00-05","Augusta Correctional Center",318596.50,16
"2024-02-01 00:00:00-05","State Council of Higher Education",310843.28,17
"2024-02-01 00:00:00-05","Blue Ridge Community College",298085.34,51
"2024-02-01 00:00:00-05","St. Brides Correctional Center",284019.92,21
"2024-02-01 00:00:00-05","Lake Country Area Agency on Aging",281104,1
"2024-02-01 00:00:00-05","Department of Labor and Industry",281036.02,30
"2024-02-01 00:00:00-05","Department of Small Business and Supplier Diversity",274440.62,6
"2024-02-01 00:00:00-05","Library of Virginia",254049.72,28
"2024-02-01 00:00:00-05","Virginia Highlands Community College",252698.76,28
"2024-02-01 00:00:00-05","Indigent Defense Commission",243327.20,21
"2024-02-01 00:00:00-05","Pocahantas State Correctional Center",225704.38,17
"2024-02-01 00:00:00-05","Patrick & Henry Community College",213400.9670,37
"2024-02-01 00:00:00-05","Baskerville Correctional Center",210073.4350,25
"2024-02-01 00:00:00-05","River North Correctional Center",203625.34,18
"2024-02-01 00:00:00-05","Town of Blackstone",195576,1
"2024-02-01 00:00:00-05","Metropolitan Washington Airports Authority",190378.88,1
"2024-02-01 00:00:00-05","Mountain Empire Older Citizens",174304,2
"2024-02-01 00:00:00-05","Department of Elections",166771.20,10
"2024-02-01 00:00:00-05","Dept of Professional and Occupational Regulation",151112.74,22
"2024-02-01 00:00:00-05","Northern Virginia Mental Health Institute",134809.08,19
"2024-02-01 00:00:00-05","Virginia Museum of Natural History",132888.00,20
"2024-02-01 00:00:00-05","State Corporation Commission",109701.54,3
"2024-02-01 00:00:00-05","Sussex I and Sussex II State Prisons Complex",107887.42,11
"2024-02-01 00:00:00-05","Caroline County Schools",102865.20,1
"2024-02-01 00:00:00-05","Jones & Cabacoy Veterans Care Center",101974.12,17
"2024-02-01 00:00:00-05","Hampton Newport News CSB",101404,1
"2024-02-01 00:00:00-05","Lunenburg Correctional Center",98630.7900,18
"2024-02-01 00:00:00-05","Marion Correctional Treatment Center",95753.16,21
"2024-02-01 00:00:00-05","County of Loudoun",91817.42,2
"2024-02-01 00:00:00-05","Scott County",76869.70,1
"2024-02-01 00:00:00-05","Fort Monroe Authority",76230.74,8
"2024-02-01 00:00:00-05","Virginia Board for People with Disabilities",66064.4250,11
"2024-02-01 00:00:00-05","Stafford County Public Schools",55341.52,1
"2024-02-01 00:00:00-05","Mountain Gateway Community College",49394.80,24
"2024-02-01 00:00:00-05","Virginia Economic Development Partnership",45187.12,4
"2024-02-01 00:00:00-05","Henrico County Government",44347.52,1
"2024-02-01 00:00:00-05","Frontier Culture Museum",42033.66,14
"2024-02-01 00:00:00-05","Auditor of Public Accounts",35812.46,5
"2024-02-01 00:00:00-05","Secretary of Administration",33652.80,7
"2024-02-01 00:00:00-05","Virginia Cannabis Control Authority",26625.7300,3
"2024-02-01 00:00:00-05","Office of Childrens Services",20260.86,3
"2024-02-01 00:00:00-05","Virginia Department for the Deaf and Hard-of-Hearing",19776.5700,21
"2024-02-01 00:00:00-05","RSW Regional Jail Authority",13718.02,1
"2024-02-01 00:00:00-05","Workers Compensation Commission",13489.10,9
"2024-02-01 00:00:00-05","City of Lynchburg",12385.52,3
"2024-02-01 00:00:00-05","Virginia Rehabilitation Center for the Blind",11985.78,7
"2024-02-01 00:00:00-05","New College Institute",11138.80,1
"2024-02-01 00:00:00-05","Virginia Community College Shared Services Center",9445.94,5
"2024-02-01 00:00:00-05","Encompass Community Supports",8808.84,2
"2024-02-01 00:00:00-05","Greater Richmond Transit Company",7445.032,5
"2024-02-01 00:00:00-05","Office of the State Inspector General",6996.08,3
"2024-02-01 00:00:00-05","Poquoson City Public Schools",6916.48,2
"2024-02-01 00:00:00-05","Board of Accountancy",5266.14,7
"2024-02-01 00:00:00-05","City of Fairfax",5222.10,1
"2024-02-01 00:00:00-05","Department of Historic Resources",4633.98,10
"2024-02-01 00:00:00-05","Office of the Governor",4319.18,3
"2024-02-01 00:00:00-05","Clarke County",3719.20,1
"2024-02-01 00:00:00-05","Virginia Racing Commission",2789.08,3
"2024-02-01 00:00:00-05","Virginia Tourism Corporation",2633.40,6
"2024-02-01 00:00:00-05","Puller Veterans Care Center",2391.90,3
"2024-02-01 00:00:00-05","Commonwealth's Attorneys' Services Council",1738.62,2
"2024-02-01 00:00:00-05","Tobacco Region Revitalization Commission",1471.78,3
"2024-02-01 00:00:00-05","Town of Front Royal",791.80,2
"2024-02-01 00:00:00-05","Secretary of Health and Human Resources",593.58,1
"2024-02-01 00:00:00-05","Virginia State Bar",578.70,2
"2024-02-01 00:00:00-05","Veterans Services Foundation",500,1
"2024-02-01 00:00:00-05","Virginia Port Authority",440.62,2
"2024-02-01 00:00:00-05","Motor Vehicle Dealer Board",210.08,1
"2024-02-01 00:00:00-05","County of Fairfax",197.52,1
"2024-02-01 00:00:00-05","Lieutenant Governor",104.66,1
"2024-02-01 00:00:00-05","Southern Virginia Higher Education",72.82,1
"2024-03-01 00:00:00-05","Virginia Department of Transportation",1869214659.308040,642
"2024-03-01 00:00:00-05","University of Virginia",508712170.973600,649
"2024-03-01 00:00:00-05","College of William & Mary",112527380.533100,282
"2024-03-01 00:00:00-05","Department of Military Affairs",88369157.6180,86
"2024-03-01 00:00:00-05","Department of Social Services",45298416.04,95
"2024-03-01 00:00:00-05","George Mason University",44838485.564140,401
"2024-03-01 00:00:00-05","Department of Behavioral Health and Developmental Services",43826319.799980,108
"2024-03-01 00:00:00-05","Department of Human Resource Management",40099332.86,19
"2024-03-01 00:00:00-05","Virginia Polytechnic Institute and State University",34468545.852820,575
"2024-03-01 00:00:00-05","Department of General Services",33816084.062240,107
"2024-03-01 00:00:00-05","Northern Virginia Community College",30675746.180260,129
"2024-03-01 00:00:00-05","Department of Forensic Science",27997584.8640,53
"2024-03-01 00:00:00-05","Richard Bland College",27865514.22,57
"2024-03-01 00:00:00-05","Department of Motor Vehicles",27370899.8900,89
"2024-03-01 00:00:00-05","Greater Richmond Transit Company",27099204.68,7
"2024-03-01 00:00:00-05","DOC - Architecture and Engineering",26684165.52,5
"2024-03-01 00:00:00-05","James Madison University",26476676.294000,308
"2024-03-01 00:00:00-05","Department of Corrections",25547836.683040,150
"2024-03-01 00:00:00-05","Department of Rail and Public Transportation",23324411.10,15
"2024-03-01 00:00:00-05","Virginia Commonwealth University",23114177.7374,316
"2024-03-01 00:00:00-05","Virginia Department of Health",22231275.239720,237
"2024-03-01 00:00:00-05","Norfolk State University",21833046.9950,104
"2024-03-01 00:00:00-05","Old Dominion University",21400029.34,86
"2024-03-01 00:00:00-05","Department of Medical Assistance Services",19895201.572880,17
"2024-03-01 00:00:00-05","Virginia State University",19825020.2180,139
"2024-03-01 00:00:00-05","Virginia Community College System - System Office",16797039.44,37
"2024-03-01 00:00:00-05","Department of Education",12679389.78,71
"2024-03-01 00:00:00-05","Virginia Department of Wildlife Resources",12541824.582660,89
"2024-03-01 00:00:00-05","Tidewater Community College",10147266.66,113
"2024-03-01 00:00:00-05","Radford University",7783146.6580,148
"2024-03-01 00:00:00-05","Fluvanna Correctional Center",7730017.6080,46
"2024-03-01 00:00:00-05","Department of Taxation",7590106.073660,29
"2024-03-01 00:00:00-05","Reynolds Community College",7402110.12,97
"2024-03-01 00:00:00-05","Virginia State Police",7125912.4774,140
"2024-03-01 00:00:00-05","Department for Aging and Rehabilitative Services",5826892.48,75
"2024-03-01 00:00:00-05","Virginia Department of Emergency Management",5449476.8900,29
"2024-03-01 00:00:00-05","Science Museum of Virginia",5048616.4412,39
"2024-03-01 00:00:00-05","Division of Community Corrections",4671828.7280,71
"2024-03-01 00:00:00-05","University of Mary Washington",4542280.3100,91
"2024-03-01 00:00:00-05","Department of Conservation and Recreation",4515762.170840,281
"2024-03-01 00:00:00-05","Longwood University",4411658.3980,70
"2024-03-01 00:00:00-05","Department of Environmental Quality",4309681.32,69
"2024-03-01 00:00:00-05","Virginia Department of Agriculture and Consumer Services",4303288.98,64
"2024-03-01 00:00:00-05","Central State Hospital",4240690.72,40
"2024-03-01 00:00:00-05","Orange County Public Schools",4066676,1
"2024-03-01 00:00:00-05","Norfolk City Public Schools",3810136,1
"2024-03-01 00:00:00-05","DOC - Division of Institutions",3709010.9338,63
"2024-03-01 00:00:00-05","Virginia Department for Veterans Services",3658252.9810,42
"2024-03-01 00:00:00-05","Virginia Western Community College",3618142.54,68
"2024-03-01 00:00:00-05","Virginia Alcoholic Beverage Control Authority",3459224.72,28
"2024-03-01 00:00:00-05","Christopher Newport University",3225974.9616,181
"2024-03-01 00:00:00-05","Virginia Museum of Fine Arts",2927447.68,63
"2024-03-01 00:00:00-05","Department of Juvenile Justice",2409154.487340,80
"2024-03-01 00:00:00-05","Workers Compensation Commission",2346799.76,12
"2024-03-01 00:00:00-05","Office of the Attorney General",2275964.74,51
"2024-03-01 00:00:00-05","Department of Accounts",2199847.78,6
"2024-03-01 00:00:00-05","Department of Elections",2106802.32,8
"2024-03-01 00:00:00-05","Correctional Enterprises",2074167.113440,58
"2024-03-01 00:00:00-05","Spotsylvania County Public Schools",2044344.38,1
"2024-03-01 00:00:00-05","Marine Resources Commission",2020901.60,45
"2024-03-01 00:00:00-05","Department of Health Professions",2005464.6412,29
"2024-03-01 00:00:00-05","Virginia Correctional Center for Women",1974823.04,25
"2024-03-01 00:00:00-05","Fredericksburg Regional Transit",1856427.60,1
"2024-03-01 00:00:00-05","Western State Hospital",1807114.62,55
"2024-03-01 00:00:00-05","Virginia Information Technologies Agency",1800211.3128,16
"2024-03-01 00:00:00-05","Southside Virginia Community College",1762292.6480,65
"2024-03-01 00:00:00-05","Virginia Veterans Care Center",1755836.16,29
"2024-03-01 00:00:00-05","Piedmont Geriatric Hospital",1749889.6582,44
"2024-03-01 00:00:00-05","Greensville Correctional Center",1623905.424660,35
"2024-03-01 00:00:00-05","Fauquier County",1606581.04,2
"2024-03-01 00:00:00-05","Virginia Military Institute",1590220.920640,118
"2024-03-01 00:00:00-05","Brightpoint Community College",1565109.267320,59
"2024-03-01 00:00:00-05","Danville Community College",1444734.64,50
"2024-03-01 00:00:00-05","Department of Blind and Vision Impaired",1371473.0800,77
"2024-03-01 00:00:00-05","Germanna Community College",1334664.9100,61
"2024-03-01 00:00:00-05","Virginia Peninsula Community College",1203962.9960,58
"2024-03-01 00:00:00-05","Sitter-Barfoot Veterans Care Center",1195640.06,35
"2024-03-01 00:00:00-05","Eastern State Hospital",1133811.28,45
"2024-03-01 00:00:00-05","Piedmont VA Community College",1079175.24,32
"2024-03-01 00:00:00-05","State Farm Correctional Center",1022056.10,38
"2024-03-01 00:00:00-05","Southeastern Virginia Training Center",1018028.0500,52
"2024-03-01 00:00:00-05","Charlottesville City",954154,1
"2024-03-01 00:00:00-05","Virginia Employment Commission",932004.00,34
"2024-03-01 00:00:00-05","Department of Corrections - Academy",916128.12,47
"2024-03-01 00:00:00-05","Department of Forestry",891951.3420,112
"2024-03-01 00:00:00-05","Rappahannock Community College",890055.580000,41
"2024-03-01 00:00:00-05","Lunenburg Correctional Center",885317.9620,25
"2024-03-01 00:00:00-05","St. Brides Correctional Center",854442.9442,33
"2024-03-01 00:00:00-05","Wallens Ridge Correctional Center",847254.12,29
"2024-03-01 00:00:00-05","Nottoway Correctional Center",830015.0700,29
"2024-03-01 00:00:00-05","Deerfield Correctional Center",815902.210000,31
"2024-03-01 00:00:00-05","Department of Criminal Justice Services",790820.4180,33
"2024-03-01 00:00:00-05","Buckingham Correctional Center",761788.84,29
"2024-03-01 00:00:00-05","Jamestown-Yorktown Foundation",754093.40,36
"2024-03-01 00:00:00-05","Dillwyn Correctional Center",744379.1968,32
"2024-03-01 00:00:00-05","Sussex I and Sussex II State Prisons Complex",716516.24,22
"2024-03-01 00:00:00-05","Coffeewood Correctional Center",711263.2160,24
"2024-03-01 00:00:00-05","Virginia Highlands Community College",709517.12,32
"2024-03-01 00:00:00-05","Red Onion Correctional Center",699693.20,28
"2024-03-01 00:00:00-05","New River Community College",681716.7944,51
"2024-03-01 00:00:00-05","Keen Mountain Correctional Center",670831.954100,32
"2024-03-01 00:00:00-05","Baskerville Correctional Center",657616.7820,18
"2024-03-01 00:00:00-05","VA Center for Behavioral Rehabilitation",634588.4702,39
"2024-03-01 00:00:00-05","Wytheville Community College",627627.3900,55
"2024-03-01 00:00:00-05","Department of Aviation",616368.94,17
"2024-03-01 00:00:00-05","Wilson Workforce and Rehabilitation Center",593827.137180,40
"2024-03-01 00:00:00-05","Virginia School for the Deaf and the Blind",564030.6380,20
"2024-03-01 00:00:00-05","Bristol Virginia Public Schools",561104,1
"2024-03-01 00:00:00-05","Central Virginia Community College",551806.630260,42
"2024-03-01 00:00:00-05","Haynesville Correctional Center",551512.061720,35
"2024-03-01 00:00:00-05","Jones & Cabacoy Veterans Care Center",525606.94,27
"2024-03-01 00:00:00-05","Blue Ridge Community College",499362.1700,60
"2024-03-01 00:00:00-05","Frederick County Public Schools",481038,1
"2024-03-01 00:00:00-05","Marion Correctional Treatment Center",464219.74,18
"2024-03-01 00:00:00-05","Department of Housing and Community Development",463524.0930,25
"2024-03-01 00:00:00-05","Mountain Gateway Community College",453663.36,31
"2024-03-01 00:00:00-05","Southwestern VA Mental Health Institute",439796.32,44
"2024-03-01 00:00:00-05","Mountain Empire Community College",424009.6200,45
"2024-03-01 00:00:00-05","Laurel Ridge Community College",421286.3700,64
"2024-03-01 00:00:00-05","Virginia Department of Energy",414062.72,44
"2024-03-01 00:00:00-05","Department of Treasury",368992.40,31
"2024-03-01 00:00:00-05","A.L. Philpott Manufacturing Extension Partnership",368522.1230,4
"2024-03-01 00:00:00-05","Green Rock Correctional Center",365627.36,18
"2024-03-01 00:00:00-05","Southwest Virginia Community College",338094.08,35
"2024-03-01 00:00:00-05","City of Danville",321372,1
"2024-03-01 00:00:00-05","Pocahantas State Correctional Center",310869.62,21
"2024-03-01 00:00:00-05","Camp Community College",290026.0880,28
"2024-03-01 00:00:00-05","Western Tidewater Community Services Board",277420,1
"2024-03-01 00:00:00-05","State Council of Higher Education",269081.56,12
"2024-03-01 00:00:00-05","Catawba Hospital",268309.0496,44
"2024-03-01 00:00:00-05","Southern Virginia Mental Health Institute",267159.5500,57
"2024-03-01 00:00:00-05","Department of Fire Programs",255590.88,30
"2024-03-01 00:00:00-05","Bland Correctional Center",250281.439460,29
"2024-03-01 00:00:00-05","River North Correctional Center",245398.72,19
"2024-03-01 00:00:00-05","Indian Creek Correctional Center",238705.78,24
"2024-03-01 00:00:00-05","Virginia State Lottery",213124.86,2
"2024-03-01 00:00:00-05","Department of Labor and Industry",186899.04,22
"2024-03-01 00:00:00-05","James City County",184184,1
"2024-03-01 00:00:00-05","Patrick & Henry Community College",180980.74,45
"2024-03-01 00:00:00-05","Colonial Beach Public Schools",172702,1
"2024-03-01 00:00:00-05","Augusta Correctional Center",167771.64,11
"2024-03-01 00:00:00-05","County of Loudoun",166654.34,2
"2024-03-01 00:00:00-05","Northern Virginia Mental Health Institute",162652.76,19
"2024-03-01 00:00:00-05","Stafford County",142669.60,1
"2024-03-01 00:00:00-05","Dept of Professional and Occupational Regulation",140206.1760,36
"2024-03-01 00:00:00-05","Indigent Defense Commission",139069.92,12
"2024-03-01 00:00:00-05","Department of Small Business and Supplier Diversity",135516.04,11
"2024-03-01 00:00:00-05","Montgomery County",108635.84,1
"2024-03-01 00:00:00-05","Library of Virginia",101697.74,29
"2024-03-01 00:00:00-05","Department of Planning and Budget",100105.92,6
"2024-03-01 00:00:00-05","Pittsylvania County",94221.60,3
"2024-03-01 00:00:00-05","Prince William County",93000,1
"2024-03-01 00:00:00-05","Charlottesville Redevelopment & Housing Authority",81640,1
"2024-03-01 00:00:00-05","Virginia Board for People with Disabilities",79880.9120,16
"2024-03-01 00:00:00-05","Albemarle County",73272.40,2
"2024-03-01 00:00:00-05","Virginia Economic Development Partnership",71504.94,4
"2024-03-01 00:00:00-05","Virginia Community College Shared Services Center",66184.42,5
"2024-03-01 00:00:00-05","Henrico County Government",63221.98,2
"2024-03-01 00:00:00-05","JAUNT",49939.2160,4
"2024-03-01 00:00:00-05","Fort Monroe Authority",48345.44,9
"2024-03-01 00:00:00-05","Virginia Museum of Natural History",45528.16,18
"2024-03-01 00:00:00-05","Gunston Hall",38240,1
"2024-03-01 00:00:00-05","Virginia Department for the Deaf and Hard-of-Hearing",37399.3500,28
"2024-03-01 00:00:00-05","Washington County Service Authority",29198.56,1
"2024-03-01 00:00:00-05","RSW Regional Jail Authority",23383.76,1
"2024-03-01 00:00:00-05","Eastern Shore Community College",23250.22,14
"2024-03-01 00:00:00-05","Encompass Community Supports",21615.94,3
"2024-03-01 00:00:00-05","Auditor of Public Accounts",16953.90,4
"2024-03-01 00:00:00-05","Frontier Culture Museum",15435.32,11
"2024-03-01 00:00:00-05","State Corporation Commission",14049.74,2
"2024-03-01 00:00:00-05","Secretary of Administration",13786.28,6
"2024-03-01 00:00:00-05","Office of the State Inspector General",12651.84,4
"2024-03-01 00:00:00-05","Stafford County Public Schools",11474.52,1
"2024-03-01 00:00:00-05","Virginia Tourism Corporation",10882.58,7
"2024-03-01 00:00:00-05","City of Lynchburg",10532.22,2
"2024-03-01 00:00:00-05","Office of the Governor",8119.24,3
"2024-03-01 00:00:00-05","Board of Accountancy",8030.86,6
"2024-03-01 00:00:00-05","Clarke County",7438.40,1
"2024-03-01 00:00:00-05","Virginia Rehabilitation Center for the Blind",4802.34,6
"2024-03-01 00:00:00-05","Virginia Cannabis Control Authority",4554.68,4
"2024-03-01 00:00:00-05","Virginia Peninsula Regional Jail",4190.24,1
"2024-03-01 00:00:00-05","Office of Childrens Services",3820.66,4
"2024-03-01 00:00:00-05","Department of Historic Resources",3594.82,5
"2024-03-01 00:00:00-05","County of Fairfax",2999.70,1
"2024-03-01 00:00:00-05","Virginia Port Authority",2994.34,1
"2024-03-01 00:00:00-05","Poquoson City Public Schools",2267.40,1
"2024-03-01 00:00:00-05","Secretary of the Commonwealth",2135.46,2
"2024-03-01 00:00:00-05","Virginia Racing Commission",1995.98,5
"2024-03-01 00:00:00-05","Motor Vehicle Dealer Board",1961.88,1
"2024-03-01 00:00:00-05","Town of Blackstone",1222.52,1
"2024-03-01 00:00:00-05","Secretary of Education",1085.40,2
"2024-03-01 00:00:00-05","Peninsula Airport Commission",1079.12,1
"2024-03-01 00:00:00-05","Southern Virginia Higher Education",478.98,2
"2024-03-01 00:00:00-05","Commonwealth's Attorneys' Services Council",445.64,1
"2024-03-01 00:00:00-05","eVA ADMINISTRATION",184.20,1
"2024-03-01 00:00:00-05","Virginia State Bar",135.48,1
"2024-03-01 00:00:00-05","Tobacco Region Revitalization Commission",134.04,1
"2024-03-01 00:00:00-05","Puller Veterans Care Center",47.74,1
"2024-03-01 00:00:00-05","Metropolitan Washington Airports Authority",0,1
"2024-03-01 00:00:00-05","Montgomery County Public Schools",0,1
"2024-04-01 00:00:00-04","Virginia Department of Transportation",3048857497.167620,723
"2024-04-01 00:00:00-04","George Mason University",244318074.776460,435
"2024-04-01 00:00:00-04","University of Virginia",193918659.839380,778
"2024-04-01 00:00:00-04","College of William & Mary",76420296.8940,277
"2024-04-01 00:00:00-04","Department for Aging and Rehabilitative Services",68019406.2720,70
"2024-04-01 00:00:00-04","Department of Medical Assistance Services",42047724.9520,20
"2024-04-01 00:00:00-04","Virginia Commonwealth University",39666704.6168,364
"2024-04-01 00:00:00-04","Virginia Department of Health",35964476.1572,267
"2024-04-01 00:00:00-04","Department of Social Services",30197106.66,108
"2024-04-01 00:00:00-04","Department of Behavioral Health and Developmental Services",27215974.8940,61
"2024-04-01 00:00:00-04","Department of Rail and Public Transportation",27163367.92,23
"2024-04-01 00:00:00-04","Virginia Polytechnic Institute and State University",26989778.514740,637
"2024-04-01 00:00:00-04","Department of Conservation and Recreation",26659055.729160,289
"2024-04-01 00:00:00-04","Richard Bland College",25950524.4840,58
"2024-04-01 00:00:00-04","Department of Human Resource Management",20677766.60,18
"2024-04-01 00:00:00-04","James Madison University",19321021.446980,311
"2024-04-01 00:00:00-04","Department of General Services",18064622.8552,110
"2024-04-01 00:00:00-04","Department of Military Affairs",16623055.5480,83
"2024-04-01 00:00:00-04","University of Mary Washington",16183367.140160,120
"2024-04-01 00:00:00-04","Old Dominion University",14502551.9888,100
"2024-04-01 00:00:00-04","Virginia State Police",13908336.6954,175
"2024-04-01 00:00:00-04","Virginia State University",13338609.9188,135
"2024-04-01 00:00:00-04","Northern Virginia Community College",11641830.4340,152
"2024-04-01 00:00:00-04","Department of Motor Vehicles",9741004.729080,95
"2024-04-01 00:00:00-04","Department of Corrections",7271445.311100,156
"2024-04-01 00:00:00-04","Radford University",7225566.179360,180
"2024-04-01 00:00:00-04","Christopher Newport University",6890243.2542,231
"2024-04-01 00:00:00-04","Virginia Community College System - System Office",6652064.92,34
"2024-04-01 00:00:00-04","Division of Community Corrections",6281832.98,79
"2024-04-01 00:00:00-04","Virginia Department for Veterans Services",6102341.2910,51
"2024-04-01 00:00:00-04","Department of Environmental Quality",5901068.6600,66
"2024-04-01 00:00:00-04","Virginia Department of Emergency Management",5880828.26,36
"2024-04-01 00:00:00-04","Department of Education",5865030.020320,74
"2024-04-01 00:00:00-04","Virginia Department of Wildlife Resources",5646863.903560,69
"2024-04-01 00:00:00-04","Pittsylvania County Public Schools",5373935.04,2
"2024-04-01 00:00:00-04","Department of Juvenile Justice",5291278.981540,89
"2024-04-01 00:00:00-04","Virginia Department of Energy",4896309.6500,46
"2024-04-01 00:00:00-04","Department of Labor and Industry",4794201.9100,20
"2024-04-01 00:00:00-04","DOC - Architecture and Engineering",4659619.60,12
"2024-04-01 00:00:00-04","Norfolk State University",4357361.9224,98
"2024-04-01 00:00:00-04","Virginia Western Community College",3756803.70,62
"2024-04-01 00:00:00-04","DOC - Division of Institutions",3331164.170560,72
"2024-04-01 00:00:00-04","Greensville Correctional Center",3282185.0400,34
"2024-04-01 00:00:00-04","Department of Taxation",2598630.86,31
"2024-04-01 00:00:00-04","Virginia Military Institute",2511000.594600,132
"2024-04-01 00:00:00-04","Correctional Enterprises",2430381.398500,64
"2024-04-01 00:00:00-04","Office of the Attorney General",2305347.42,63
"2024-04-01 00:00:00-04","Virginia Veterans Care Center",2247714.0408,34
